# Isotope Spectrum Builder - bin metadata
# detector=NaI
# isotope=Cs-137
# n_bins=2048
# e_min_keV=0.0
# e_max_keV=2520.0
# normalization=raw
# acquisition_time_s=
# base_seed=42
# builder=Created by Dr K. Karafasoulis
# url=http://karafasoulis.eu
bin_index,e_low_keV,e_high_keV,e_center_keV,bin_width_keV
257,316.23046875,317.4609375,316.845703125,1.23046875
258,317.4609375,318.69140625,318.076171875,1.23046875
259,318.69140625,319.921875,319.306640625,1.23046875
260,319.921875,321.15234375,320.537109375,1.23046875
261,321.15234375,322.3828125,321.767578125,1.23046875
262,322.3828125,323.61328125,322.998046875,1.23046875
263,323.61328125,324.84375,324.228515625,1.23046875
264,324.84375,326.07421875,325.458984375,1.23046875
265,326.07421875,327.3046875,326.689453125,1.23046875
266,327.3046875,328.53515625,327.919921875,1.23046875
267,328.53515625,329.765625,329.150390625,1.23046875
268,329.765625,330.99609375,330.380859375,1.23046875
269,330.99609375,332.2265625,331.611328125,1.23046875
270,332.2265625,333.45703125,332.841796875,1.23046875
271,333.45703125,334.6875,334.072265625,1.23046875
272,334.6875,335.91796875,335.302734375,1.23046875
273,335.91796875,337.1484375,336.533203125,1.23046875
274,337.1484375,338.37890625,337.763671875,1.23046875
275,338.37890625,339.609375,338.994140625,1.23046875
276,339.609375,340.83984375,340.224609375,1.23046875
277,340.83984375,342.0703125,341.455078125,1.23046875
278,342.0703125,343.30078125,342.685546875,1.23046875
279,343.30078125,344.53125,343.916015625,1.23046875
280,344.53125,345.76171875,345.146484375,1.23046875
281,345.76171875,346.9921875,346.376953125,1.23046875
282,346.9921875,348.22265625,347.607421875,1.23046875
283,348.22265625,349.453125,348.837890625,1.23046875
284,349.453125,350.68359375,350.068359375,1.23046875
285,350.68359375,351.9140625,351.298828125,1.23046875
286,351.9140625,353.14453125,352.529296875,1.23046875
287,353.14453125,354.375,353.759765625,1.23046875
288,354.375,355.60546875,354.990234375,1.23046875
289,355.60546875,356.8359375,356.220703125,1.23046875
290,356.8359375,358.06640625,357.451171875,1.23046875
291,358.06640625,359.296875,358.681640625,1.23046875
292,359.296875,360.52734375,359.912109375,1.23046875
293,360.52734375,361.7578125,361.142578125,1.23046875
294,361.7578125,362.98828125,362.373046875,1.23046875
295,362.98828125,364.21875,363.603515625,1.23046875
296,364.21875,365.44921875,364.833984375,1.23046875
297,365.44921875,366.6796875,366.064453125,1.23046875
298,366.6796875,367.91015625,367.294921875,1.23046875
299,367.91015625,369.140625,368.525390625,1.23046875
300,369.140625,370.37109375,369.755859375,1.23046875
301,370.37109375,371.6015625,370.986328125,1.23046875
302,371.6015625,372.83203125,372.216796875,1.23046875
303,372.83203125,374.0625,373.447265625,1.23046875
304,374.0625,375.29296875,374.677734375,1.23046875
305,375.29296875,376.5234375,375.908203125,1.23046875
306,376.5234375,377.75390625,377.138671875,1.23046875
307,377.75390625,378.984375,378.369140625,1.23046875
308,378.984375,380.21484375,379.599609375,1.23046875
309,380.21484375,381.4453125,380.830078125,1.23046875
310,381.4453125,382.67578125,382.060546875,1.23046875
311,382.67578125,383.90625,383.291015625,1.23046875
312,383.90625,385.13671875,384.521484375,1.23046875
313,385.13671875,386.3671875,385.751953125,1.23046875
314,386.3671875,387.59765625,386.982421875,1.23046875
315,387.59765625,388.828125,388.212890625,1.23046875
